division,family,subfamily,tribe,genus,specific_epithet,subspecific_epithet,common_name,scientific_name,author,year_of_publication
,,,,Orthaga,,,,,,
,,,,Orthocabera,,,,,,
,,,,Orthonama,,,,,,
,,,,Orudiza,,,,,,
,,,,Oruza,,,,,,
,,,,Orvasca,,,,,,
,,,,Ostrinia,,,,,,
,,,,Ourapteryx,,,,,,
,,,,Oxaeanus,,,,,,
,,,,Oxyodes,,,,,,
,,,,Ozola,,,,,,
,,,,Pachliopta,,,,,,
,,,,Pachynoa,,,,,,
,,,,Padenia,,,,,,
,,,,Paectes,,,,,,
,,,,Pagyda,,,,,,
,,,,Paliga,,,,,,
,,,,Palpita,,,,,,
,,,,Pangrapta,,,,,,
,,,,Panilla,,,,,,
,,,,Pantana,,,,,,
,,,,Pantoporia,,,,,,
,,,,Pantydia,,,,,,
,,,,Papilio,,,,,,
,,,,Paracrama,,,,,,
,,,,Paracymoriza,,,,,,
,,,,Paralebeda,,,,,,
,,,,Parallelia,,,,,,
,,,,Paranagia,,,,,,
,,,,Parantica,,,,,,
,,,,Parapoynx,,,,,,
,,,,Parasa,,,,,,
,,,,Pareronia,,,,,,
,,,,Pareumelea,,,,,,
,,,,Parnara,,,,,,
,,,,Parolulis,,,,,,
,,,,Parotis,,,,,,
,,,,Parthenos,,,,,,
,,,,Pataeta,,,,,,
,,,,Patania,,,,,,
,,,,Pelagodes,,,,,,
,,,,Pelopidas,,,,,,
,,,,Penicillaria,,,,,,
,,,,Penicillifera,,,,,,
,,,,Peratophyga,,,,,,
,,,,Pergesa,,,,,,
,,,,Pericyma,,,,,,
,,,,Peridrome,,,,,,
,,,,Perisyntrocha,,,,,,
,,,,Perixera,,,,,,
,,,,Petavia,,,,,,
,,,,Petelia,,,,,,
,,,,Petrelaea,,,,,,
,,,,Phaedyma,,,,,,
,,,,Phalanta,,,,,,
,,,,Phalera,,,,,,
,,,,Phauda,,,,,,
,,,,Phazaca,,,,,,
,,,,Phereoeca,,,,,,
,,,,Phlogophora,,,,,,
,,,,Phycidopsis,,,,,,
,,,,Phyllodes,,,,,,
,,,,Pieris,,,,,,
,,,,Piletocera,,,,,,
,,,,Pindara,,,,,,
,,,,Pingasa,,,,,,
,,,,Pirdana,,,,,,
,,,,Pithecops,,,,,,
,,,,Placosaris,,,,,,
,,,,Platyja,,,,,,
,,,,Platyptilia,,,,,,
,,,,Plecoptera,,,,,,
,,,,Pleuroptya,,,,,,
,,,,Plusiodonta,,,,,,
,,,,Plusiopalpa,,,,,,
,,,,Plutella,,,,,,
,,,,Poliobotys,,,,,,
,,,,Polydesma,,,,,,
,,,,Polyptychus,,,,,,
,,,,Polythlipta,,,,,,
,,,,Polyura,,,,,,
,,,,Pomasia,,,,,,
,,,,Poritia,,,,,,
,,,,Potanthus,,,,,,
,,,,Probithia,,,,,,
,,,,Problepsis,,,,,,
,,,,Progonia,,,,,,
,,,,Prophantis,,,,,,
,,,,Prosotas,,,,,,
,,,,Prothoe,,,,,,
,,,,Protuliocnemis,,,,,,
,,,,Prusiana,,,,,,
,,,,Psamatodes,,,,,,
,,,,Psaphis,,,,,,
,,,,Pseudeuchromia,,,,,,
,,,,Pseudoganisa,,,,,,
,,,,Pseudomicronia,,,,,,
,,,,Pseudopolynesia,,,,,,
,,,,Pseudosphetta,,,,,,
,,,,Pseudozizeeria,,,,,,
,,,,Psilalcis,,,,,,
,,,,Psilogramma,,,,,,
,,,,Psolos,,,,,,
,,,,Pterocyclophora,,,,,,
,,,,Pterophorus,,,,,,
,,,,Ptychandra,,,,,,
,,,,Pycnarmon,,,,,,
,,,,Pygospila,,,,,,
,,,,Pyloetis,,,,,,
,,,,Pyralis,,,,,,
,,,,Pyrausta,,,,,,
,,,,Pyroneura,,,,,,
,,,,Rachana,,,,,,
,,,,Rachiplusia,,,,,,
,,,,Ragadia,,,,,,
,,,,Ramadasa,,,,,,
,,,,Ramila,,,,,,
,,,,Rapala,,,,,,
,,,,Rehimena,,,,,,
,,,,Remelana,,,,,,
,,,,Rhesala,,,,,,
,,,,Rhimphalea,,,,,,
,,,,Rhinopalpa,,,,,,
,,,,Rhodoneura,,,,,,
,,,,Risoba,,,,,,
,,,,Rivula,,,,,,
,,,,Roepkiella,,,,,,
,,,,Rohana,,,,,,
,,,,Rusicada,,,,,,
,,,,Sacada,,,,,,
,,,,Saletara,,,,,,
,,,,Saliocleta,,,,,,
,,,,Salma,,,,,,
,,,,Sameodes,,,,,,
,,,,Samia,,,,,,
,,,,Saptha,,,,,,
,,,,Sarcinodes,,,,,,
,,,,Sarobides,,,,,,
,,,,Sauris,,,,,,
,,,,Savara,,,,,,
,,,,Scaptesyle,,,,,,
,,,,Schistophleps,,,,,,
,,,,Scirpophaga,,,,,,
,,,,Scopula,,,,,,
,,,,Scrobigera,,,,,,
,,,,Serrodes,,,,,,
,,,,Setora,,,,,,
,,,,Simplicia,,,,,,
,,,,Sinthusa,,,,,,
,,,,Somera,,,,,,
,,,,Spalgis,,,,,,
,,,,Spaniocentra,,,,,,
,,,,Speiredonia,,,,,,
,,,,Sphenarches,,,,,,
,,,,Sphingognatha,,,,,,
,,,,Spilarctia,,,,,,
,,,,Spilosoma,,,,,,
,,,,Spindasis,,,,,,
,,,,Spirama,,,,,,
,,,,Spodoptera,,,,,,
,,,,Spoladea,,,,,,
,,,,Stauropus,,,,,,
,,,,Stenoptilodes,,,,,,
,,,,Stictane,,,,,,
,,,,Stictoptera,,,,,,
,,,,Streblote,,,,,,
,,,,Strepsigonia,,,,,,
,,,,Striglina,,,,,,
,,,,Suada,,,,,,
,,,,Suana,,,,,,
,,,,Suastus,,,,,,
,,,,Sufetula,,,,,,
,,,,Surendra,,,,,,
,,,,Syllepte,,,,,,
,,,,Symbrenthia,,,,,,
,,,,Sympis,,,,,,
,,,,Syntypistis,,,,,,
,,,,Sypna,,,,,,
,,,,Tacola,,,,,,
,,,,Taenaris,,,,,,
,,,,Tagiades,,,,,,
,,,,Tajuria,,,,,,
,,,,Talanga,,,,,,
,,,,Tamba,,,,,,
,,,,Tanaecia,,,,,,
,,,,Tanaorhinus,,,,,,
,,,,Taractrocera,,,,,,
,,,,Tarattia,,,,,,
,,,,Targalla,,,,,,
,,,,Tarsolepis,,,,,,
,,,,Tarucus,,,,,,
,,,,Tasta,,,,,,
,,,,Tatobotys,,,,,,
,,,,Taxila,,,,,,
,,,,Tebenna,,,,,,
,,,,Teldenia,,,,,,
,,,,Telicota,,,,,,
,,,,Terastia,,,,,,
,,,,Terinos,,,,,,
,,,,Termioptycha,,,,,,
,,,,Tetragonus,,,,,,
,,,,Teulisna,,,,,,
,,,,Theretra,,,,,,
,,,,Thinopteryx,,,,,,
,,,,Thosea,,,,,,
,,,,Thyas,,,,,,
,,,,Thyrassia,,,,,,
,,,,Thysanoplusia,,,,,,
,,,,Tigrioides,,,,,,
,,,,Timandra,,,,,,
,,,,Tiracola,,,,,,
,,,,Tirathaba,,,,,,
,,,,Tirumala,,,,,,
,,,,Tiruvaca,,,,,,
,,,,Trabala,,,,,,
,,,,Traballa,,,,,,
,,,,Traminda,,,,,,
,,,,Trichosea,,,,,,
,,,,Tridrepana,,,,,,
,,,,Tridrepena,,,,,,
,,,,Trigonodes,,,,,,
,,,,Trilocha,,,,,,
,,,,Triorbis,,,,,,
,,,,Trischalis,,,,,,
,,,,Trogonoptera,,,,,,
,,,,Troides,,,,,,
,,,,Tyspanodes,,,,,,
,,,,Udaiana,,,,,,
,,,,Udara,,,,,,
,,,,Udea,,,,,,
,,,,Unkana,,,,,,
,,,,Urapteroides,,,,,,
,,,,Utetheisa,,,,,,
,,,,Utthinia,,,,,,
,,,,Vagrans,,,,,,
,,,,Vanessa,,,,,,
,,,,Vindula,,,,,,
,,,,Vitessa,,,,,,
,,,,Westermannia,,,,,,
,,,,Xanthanomis,,,,,,
,,,,Xanthetis,,,,,,
,,,,Xanthodes,,,,,,
,,,,Xanthomelaena,,,,,,
,,,,Xanthoneura,,,,,,
,,,,Xenogenes,,,,,,
,,,,Xerodes,,,,,,
,,,,Xyleutes,,,,,,
,,,,Xyroptila,,,,,,
,,,,Yashmakia,,,,,,
,,,,Yoma,,,,,,
,,,,Ypthima,,,,,,
,,,,Zamarada,,,,,,
,,,,Zeheba,,,,,,
,,,,Zeltus,,,,,,
,,,,Zethera,,,,,,
,,,,Zeuxidia,,,,,,
,,,,Zeuzera,,,,,,
,,,,Ziridava,,,,,,
,,,,Zizeeria,,,,,,
,,,,Zizina,,,,,,
,,,,Zizula,,,,,,
,,,,Zographetus,,,,,,
,,,,Zonoplusia,,,,,,
