division,family,subfamily,tribe,genus,specific_epithet,subspecific_epithet,common_name,scientific_name,author,year_of_publication
,,,Arctornithini,,,,,,,
,,,Argyrogrammatini,,,,,,,
,,,Aventiini,,,,,,,
,,,Baptini,,,,,,,
,,,Biblidini,,,,,,,
,,,Boarmiini,,,,,,,
,,,Caberini,,,,,,,
,,,Calpini,,,,,,,
,,,Caradrinini,,,,,,,
,,,Careini,,,,,,,
,,,Cassymini,,,,,,,
,,,Catephiini,,,,,,,
,,,Charaxini,,,,,,,
,,,Cidariini,,,,,,,
,,,Cocytiini,,,,,,,
,,,Condicini,,,,,,,
,,,Cosymbiini,,,,,,,
,,,Crambini,,,,,,,
,,,Cyrestini,,,,,,,
,,,Danaini,,,,,,,
,,,Desmobathrini,,,,,,,
,,,Dysphaniini,,,,,,,
,,,Eariadini,,,,,,,
,,,Enarmoniini,,,,,,,
,,,Ercheiini,,,,,,,
,,,Erebini,,,,,,,
,,,Erionotini,,,,,,,
,,,Eublemmini,,,,,,,
,,,Euclidiini,,,,,,,
,,,Eumeleini,,,,,,,
,,,Eupitheciini,,,,,,,
,,,Euploeini,,,,,,,
,,,Eutoeini,,,,,,,
,,,Galleriini,,,,,,,
,,,Geometrini,,,,,,,
,,,Heliconiini,,,,,,,
,,,Hulodini,,,,,,,
,,,Hypochrosini,,,,,,,
,,,Hypopyrini,,,,,,,
,,,Leptocircini,,,,,,,
,,,Leucaniini,,,,,,,
,,,Leucomini,,,,,,,
,,,Limenitidini,,,,,,,
,,,Lithosiinae,,,,,,,
,,,Lithosiini,,,,,,,
,,,Lymantriini,,,,,,,
,,,Macariini,,,,,,,
,,,Micronoctuini,,,,,,,
,,,Miletini,,,,,,,
,,,Noctuini,,,,,,,
,,,Nolini,,,,,,,
,,,Nygmiini,,,,,,,
,,,Nymphaliini,,,,,,,
,,,Ommatophorini,,,,,,,
,,,Ophiderini,,,,,,,
,,,Ophiusini,,,,,,,
,,,Orgyiini,,,,,,,
,,,Orthostixini,,,,,,,
,,,Pandesmini,,,,,,,
,,,Panopodini,,,,,,,
,,,Papilionini,,,,,,,
,,,Pericymini,,,,,,,
,,,Phlogophorini,,,,,,,
,,,Phyllodini,,,,,,,
,,,Phytometrini,,,,,,,
,,,Plusiini,,,,,,,
,,,Plutodini,,,,,,,
,,,Poaphilini,,,,,,,
,,,Polyommatini,,,,,,,
,,,Prodeniini,,,,,,,
,,,Prothoini,,,,,,,
,,,Pseudergolini,,,,,,,
,,,Rivulinae,,,,,,,
,,,Sarrothripini,,,,,,,
,,,Scoliopteygini,,,,,,,
,,,Scopulini,,,,,,,
,,,Spalgini,,,,,,,
,,,Sphingini,,,,,,,
,,,Spilosomini,,,,,,,
,,,Sterrhini,,,,,,,
,,,Sypnini,,,,,,,
,,,Theclini,,,,,,,
,,,Timandrini,,,,,,,
,,,Toxocampini,,,,,,,
,,,Trichopterygini,,,,,,,
,,,Troidini,,,,,,,
,,,,Abisara,,,,,,
,,,,Abraxas,,,,,,
,,,,Acerbas,,,,,,
,,,,Achaea,,,,,,
,,,,Acherontia,,,,,,
,,,,Achillides,,,,,,
,,,,Achrosis,,,,,,
,,,,Acleris,,,,,,
,,,,Acolutha,,,,,,
,,,,Acosmeryx,,,,,,
,,,,Acrophtalmia,,,,,,
,,,,Acropteris,,,,,,
,,,,Actias,,,,,,
,,,,Acytolepis,,,,,,
,,,,Adites,,,,,,
,,,,Adrapsa,,,,,,
,,,,Aedia,,,,,,
,,,,Aemene,,,,,,
,,,,Aeolopetra,,,,,,
,,,,Aeromachus,,,,,,
,,,,Aethaloessa,,,,,,
,,,,Agape,,,,,,
,,,,Agathia,,,,,,
,,,,Agathodes,,,,,,
,,,,Agrioglypta,,,,,,
,,,,Agrius,,,,,,
,,,,Agrotera,,,,,,
,,,,Aiteta,,,,,,
,,,,Alex,,,,,,
,,,,Algia,,,,,,
,,,,Allata,,,,,,
,,,,Allodonta,,,,,,
,,,,Allotinus,,,,,,
,,,,Aloa,,,,,,
,,,,Amalodeta,,,,,,
,,,,Amathusia,,,,,,
,,,,Amathuxidia,,,,,,
,,,,Ambia,,,,,,
,,,,Amblychia,,,,,,
,,,,Amblypodia,,,,,,
,,,,Ambulyx,,,,,,
,,,,Amerila,,,,,,
,,,,Amphigonia,,,,,,
,,,,Amplypterus,,,,,,
,,,,Amyna,,,,,,
,,,,Ancistroides,,,,,,
,,,,Ancylolomia,,,,,,
,,,,Anereuthina,,,,,,
,,,,Anisoneura,,,,,,
,,,,Ann,,,,,,
,,,,Anomis,,,,,,
,,,,Anthene,,,,,,
,,,,Antheraea,,,,,,
,,,,Anthozela,,,,,,
,,,,Anticarsia,,,,,,
,,,,Antitrygodes,,,,,,
,,,,Anuga,,,,,,
,,,,Apha,,,,,,
,,,,Aporandria,,,,,,
,,,,Appias,,,,,,
,,,,Apsarasa,,,,,,
,,,,Araotes,,,,,,
,,,,Arcesis,,,,,,
,,,,Archips,,,,,,
,,,,Arcte,,,,,,
,,,,Arctornis,,,,,,
,,,,Areas,,,,,,
,,,,Argina,,,,,,
,,,,Argyreus,,,,,,
,,,,Arhopala,,,,,,
,,,,Ariadne,,,,,,
,,,,Arisbe,,,,,,
,,,,Arna,,,,,,
,,,,Aroa,,,,,,
,,,,Arsacia,,,,,,
,,,,Artaxa,,,,,,
,,,,Artena,,,,,,
,,,,Arthisma,,,,,,
,,,,Arthroschista,,,,,,
,,,,Artona,,,,,,
,,,,Asota,,,,,,
,,,,Ataboruza,,,,,,
,,,,Athetis,,,,,,
,,,,Athyma,,,,,,
,,,,Atrophaneura,,,,,,
,,,,Attacus,,,,,,
,,,,Attatha,,,,,,
,,,,Atteva,,,,,,
,,,,Autoba,,,,,,
,,,,Avatha,,,,,,
,,,,Axinoptera,,,,,,
,,,,Axylia,,,,,,
,,,,Badamia,,,,,,
,,,,Bamra,,,,,,
,,,,Banisia,,,,,,
,,,,Baoris,,,,,,
,,,,Baorisa,,,,,,
,,,,Barsine,,,,,,
,,,,Bassarona,,,,,,
,,,,Bastilla,,,,,,
,,,,Beana,,,,,,
,,,,Bematha,,,,,,
,,,,Bembecia,,,,,,
,,,,Berta,,,,,,
,,,,Bertula,,,,,,
,,,,Bibasis,,,,,,
,,,,Bindahara,,,,,,
,,,,Birthamoides,,,,,,
,,,,Birthana,,,,,,
,,,,Biston,,,,,,
,,,,Blenina,,,,,,
,,,,Bocana,,,,,,
,,,,Bocula,,,,,,
,,,,Boradiopsis,,,,,,
,,,,Borbo,,,,,,
,,,,Borbotana,,,,,,
,,,,Botyodes,,,,,,
,,,,Bracca,,,,,,
,,,,Bradina,,,,,,
,,,,Brenthia,,,,,,
,,,,Britha,,,,,,
,,,,Brunia,,,,,,
,,,,Buzara,,,,,,
,,,,Cabarda,,,,,,
,,,,Calaenorrhinus,,,,,,
,,,,Caleta,,,,,,
,,,,Callidrepana,,,,,,
,,,,Callidula,,,,,,
,,,,Calliteara,,,,,,
,,,,Callopistria,,,,,,
,,,,Calymera,,,,,,
,,,,Campromastix,,,,,,
,,,,Cania,,,,,,
,,,,Canucha,,,,,,
,,,,Carriola,,,,,,
,,,,Castalius,,,,,,
,,,,Catapaecilma,,,,,,
,,,,Catochrysops,,,,,,
,,,,Catopsilia,,,,,,
,,,,Catopyrops,,,,,,
,,,,Catoria,,,,,,
,,,,Cechenena,,,,,,
,,,,Celaenorrhinus,,,,,,
